epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,272.995,1.51332,1.45755,1.44774,0.61539,0.45118,0.47663,0.28869,1.4526,1.6395,1.5313,0.0017624,0.0017624,0.0017624
14,292.611,1.48195,1.49995,1.45046,0.68063,0.43054,0.50061,0.30868,1.45815,1.55348,1.50381,0.0017426,0.0017426,0.0017426
15,312.062,1.44691,1.42202,1.4294,0.51941,0.47475,0.46524,0.28327,1.44443,1.8427,1.48573,0.0017228,0.0017228,0.0017228
16,331.465,1.44078,1.41018,1.4336,0.65016,0.50337,0.54497,0.31477,1.4977,1.50153,1.50963,0.001703,0.001703,0.001703
17,351.613,1.41194,1.33097,1.40722,0.64622,0.51515,0.54108,0.3371,1.38612,1.47854,1.46249,0.0016832,0.0016832,0.0016832
18,371.34,1.42911,1.35389,1.43268,0.66395,0.49832,0.5468,0.33436,1.41987,1.53998,1.46333,0.0016634,0.0016634,0.0016634
19,391.209,1.38982,1.35165,1.39594,0.61359,0.50168,0.51001,0.31718,1.36786,1.51136,1.4498,0.0016436,0.0016436,0.0016436
20,412.077,1.34859,1.31884,1.36033,0.70627,0.47643,0.55218,0.35484,1.34579,1.61257,1.39758,0.0016238,0.0016238,0.0016238
21,431.951,1.36321,1.33006,1.38463,0.66417,0.5303,0.52534,0.32954,1.34218,1.39097,1.40381,0.001604,0.001604,0.001604
22,452.114,1.33321,1.30482,1.3723,0.70734,0.50337,0.56721,0.36757,1.28464,1.34893,1.39275,0.0015842,0.0015842,0.0015842
23,472.33,1.308,1.20476,1.30757,0.65533,0.50895,0.54391,0.34436,1.38815,1.49616,1.45684,0.0015644,0.0015644,0.0015644
24,492.035,1.32221,1.21822,1.36153,0.7067,0.47811,0.53773,0.34627,1.33291,1.41769,1.42707,0.0015446,0.0015446,0.0015446
25,511.785,1.2933,1.19478,1.30522,0.66408,0.5303,0.56736,0.36702,1.30959,1.38731,1.38708,0.0015248,0.0015248,0.0015248
26,532.202,1.26696,1.19212,1.30916,0.67054,0.56536,0.59072,0.38164,1.28267,1.30139,1.38058,0.001505,0.001505,0.001505
27,553.307,1.29403,1.17705,1.32483,0.73172,0.50507,0.59148,0.38106,1.30627,1.35499,1.36988,0.0014852,0.0014852,0.0014852
28,574.336,1.25612,1.14921,1.28679,0.75335,0.51933,0.60942,0.39081,1.28864,1.25251,1.36412,0.0014654,0.0014654,0.0014654
29,596.065,1.21786,1.11495,1.27136,0.67503,0.54714,0.57478,0.36496,1.33824,1.28556,1.39348,0.0014456,0.0014456,0.0014456
30,618.885,1.19516,1.06729,1.2542,0.65575,0.54545,0.5818,0.38061,1.29321,1.31272,1.38545,0.0014258,0.0014258,0.0014258
31,641.174,1.22613,1.10643,1.28165,0.72551,0.55219,0.61619,0.40604,1.34555,1.22711,1.40407,0.001406,0.001406,0.001406
32,661.663,1.2612,1.12914,1.31427,0.67244,0.54209,0.58401,0.39025,1.20372,1.23077,1.31039,0.0013862,0.0013862,0.0013862
33,682.825,1.20828,1.1061,1.27407,0.74798,0.52465,0.58608,0.3925,1.20769,1.22541,1.30799,0.0013664,0.0013664,0.0013664
34,703.9,1.20965,1.08961,1.28965,0.73306,0.5404,0.62264,0.39722,1.21705,1.21152,1.31428,0.0013466,0.0013466,0.0013466
35,724.289,1.2101,1.07605,1.2692,0.65739,0.56853,0.5998,0.39949,1.2783,1.28252,1.37775,0.0013268,0.0013268,0.0013268
36,745.554,1.19773,1.08675,1.27374,0.64748,0.54422,0.55488,0.3554,1.23042,1.33221,1.33545,0.001307,0.001307,0.001307
37,766.565,1.1721,1.05753,1.25232,0.70774,0.56229,0.63248,0.42286,1.22654,1.17921,1.31672,0.0012872,0.0012872,0.0012872
38,787.306,1.15949,1.03308,1.25648,0.76443,0.51347,0.61101,0.40521,1.23549,1.22139,1.34212,0.0012674,0.0012674,0.0012674
39,808.511,1.1623,1.04186,1.24668,0.74721,0.57912,0.64124,0.43532,1.17349,1.16158,1.30344,0.0012476,0.0012476,0.0012476
40,829.951,1.15431,1.03174,1.24385,0.7052,0.58081,0.60509,0.4058,1.19302,1.19948,1.31028,0.0012278,0.0012278,0.0012278
41,851.365,1.15935,1.01597,1.23796,0.73709,0.5475,0.63521,0.42199,1.2291,1.1524,1.3279,0.001208,0.001208,0.001208
42,871.824,1.1368,1.01098,1.2338,0.69667,0.57912,0.6188,0.41698,1.18184,1.16575,1.30035,0.0011882,0.0011882,0.0011882
43,892.356,1.14224,1.00292,1.24467,0.69445,0.60606,0.63098,0.41857,1.19211,1.12225,1.3205,0.0011684,0.0011684,0.0011684
44,913.517,1.11529,0.96134,1.22273,0.74805,0.56229,0.61414,0.41146,1.1897,1.21517,1.30041,0.0011486,0.0011486,0.0011486
45,933.984,1.12425,0.97559,1.23368,0.73079,0.56902,0.63358,0.42049,1.19171,1.10483,1.31537,0.0011288,0.0011288,0.0011288
46,954.407,1.10998,0.96506,1.21447,0.76024,0.54882,0.62856,0.42775,1.18928,1.12326,1.31725,0.001109,0.001109,0.001109
47,974.939,1.11633,0.97308,1.21821,0.71455,0.58998,0.62823,0.40869,1.20712,1.20022,1.32573,0.0010892,0.0010892,0.0010892
48,995.287,1.07795,0.95306,1.19474,0.75021,0.57136,0.64822,0.44987,1.14804,1.176,1.28797,0.0010694,0.0010694,0.0010694
49,1015.74,1.10558,0.94081,1.20531,0.75024,0.57912,0.63855,0.43661,1.19165,1.12994,1.31139,0.0010496,0.0010496,0.0010496
50,1037.12,1.10366,0.95601,1.19682,0.752,0.53704,0.62105,0.4215,1.17964,1.1731,1.31645,0.0010298,0.0010298,0.0010298
51,1058.03,1.09623,0.94105,1.20244,0.71024,0.59596,0.63375,0.43439,1.15719,1.13328,1.29622,0.00101,0.00101,0.00101
52,1080.2,1.06985,0.90054,1.19619,0.73729,0.57407,0.64604,0.43725,1.14796,1.07106,1.28916,0.0009902,0.0009902,0.0009902
53,1102.59,1.0701,0.91771,1.18147,0.7344,0.61279,0.65805,0.44278,1.16924,1.03679,1.2971,0.0009704,0.0009704,0.0009704
54,1123.17,1.04981,0.87547,1.17036,0.69094,0.59841,0.63277,0.43408,1.15581,1.11811,1.30444,0.0009506,0.0009506,0.0009506
55,1145.67,1.05298,0.88723,1.18977,0.75739,0.58862,0.66881,0.45009,1.13594,1.04006,1.28073,0.0009308,0.0009308,0.0009308
56,1166.45,1.03631,0.87094,1.17155,0.7389,0.59428,0.65423,0.44315,1.15865,1.08877,1.29757,0.000911,0.000911,0.000911
57,1188.83,1.03467,0.85342,1.16179,0.76134,0.57744,0.65182,0.44044,1.15114,1.16203,1.27924,0.0008912,0.0008912,0.0008912
58,1209.41,1.02341,0.86654,1.17049,0.72346,0.61448,0.65491,0.4414,1.17203,1.06652,1.2896,0.0008714,0.0008714,0.0008714
59,1231.43,1.03028,0.86893,1.17052,0.76787,0.59091,0.64889,0.44108,1.14949,1.02108,1.29544,0.0008516,0.0008516,0.0008516
60,1253.39,1.03035,0.87014,1.15419,0.78046,0.57456,0.67153,0.45087,1.15156,1.08554,1.25623,0.0008318,0.0008318,0.0008318
61,1275.48,1.02321,0.86573,1.16081,0.79549,0.59933,0.66922,0.46129,1.10803,1.05381,1.25352,0.000812,0.000812,0.000812
62,1296.95,1.00649,0.81795,1.13495,0.71255,0.60943,0.65419,0.45743,1.13905,1.01753,1.26852,0.0007922,0.0007922,0.0007922
63,1319.14,1.01472,0.83501,1.15327,0.6553,0.61953,0.65808,0.44297,1.18115,1.03604,1.28974,0.0007724,0.0007724,0.0007724
64,1340.06,1.01154,0.81888,1.15006,0.73766,0.60101,0.66264,0.46107,1.12215,1.07809,1.27338,0.0007526,0.0007526,0.0007526
65,1361.03,0.99545,0.78979,1.15006,0.76436,0.62255,0.66619,0.46113,1.11676,1.05284,1.26807,0.0007328,0.0007328,0.0007328
66,1384.9,0.97565,0.77568,1.11866,0.74713,0.60685,0.66963,0.45784,1.13026,1.07934,1.27499,0.000713,0.000713,0.000713
67,1406.93,0.97098,0.76508,1.1263,0.7098,0.61953,0.66154,0.45093,1.11029,1.03746,1.26336,0.0006932,0.0006932,0.0006932
68,1429.8,0.98213,0.77346,1.12209,0.72553,0.60774,0.66729,0.46453,1.10729,1.04814,1.25003,0.0006734,0.0006734,0.0006734
69,1451,0.99059,0.79406,1.14083,0.74412,0.59933,0.64596,0.44856,1.11408,1.03793,1.26513,0.0006536,0.0006536,0.0006536
70,1472.59,0.94985,0.76878,1.1239,0.71989,0.61953,0.66005,0.45645,1.1332,1.08563,1.28094,0.0006338,0.0006338,0.0006338
71,1493.63,0.95325,0.76264,1.13067,0.7449,0.61939,0.67606,0.46807,1.09744,1.00945,1.25034,0.000614,0.000614,0.000614
72,1514.83,0.93564,0.74338,1.09554,0.72739,0.62438,0.66592,0.45913,1.10158,1.02734,1.2397,0.0005942,0.0005942,0.0005942
73,1536.04,0.95628,0.75327,1.10707,0.77643,0.57071,0.66649,0.45423,1.11867,1.0812,1.26998,0.0005744,0.0005744,0.0005744
74,1557.44,0.95957,0.74133,1.12647,0.73788,0.63973,0.68147,0.47111,1.09754,1.03447,1.2578,0.0005546,0.0005546,0.0005546
75,1578.54,0.93623,0.7428,1.12051,0.70184,0.61423,0.67816,0.46391,1.0867,1.08412,1.23979,0.0005348,0.0005348,0.0005348
76,1600.46,0.93047,0.72267,1.10735,0.71094,0.6335,0.67634,0.4599,1.13196,1.02136,1.29989,0.000515,0.000515,0.000515
77,1622.58,0.91246,0.72012,1.08779,0.74273,0.61724,0.6839,0.47853,1.08171,1.03903,1.26283,0.0004952,0.0004952,0.0004952
78,1644.07,0.90446,0.70027,1.09049,0.81193,0.58081,0.68274,0.46687,1.09836,1.02204,1.26003,0.0004754,0.0004754,0.0004754
79,1665.98,0.90689,0.70319,1.08901,0.74781,0.61448,0.68038,0.47155,1.06764,0.99475,1.22509,0.0004556,0.0004556,0.0004556
80,1687.81,0.89993,0.69898,1.09,0.75504,0.6175,0.68127,0.47545,1.07092,1.0409,1.24912,0.0004358,0.0004358,0.0004358
81,1709.36,0.88847,0.69641,1.08186,0.71433,0.633,0.67726,0.46722,1.07323,1.05702,1.24757,0.000416,0.000416,0.000416
82,1729.78,0.90359,0.68665,1.08794,0.73135,0.61953,0.67817,0.47119,1.07009,1.01445,1.22893,0.0003962,0.0003962,0.0003962
83,1750.68,0.89761,0.69255,1.0924,0.74297,0.62289,0.68462,0.47341,1.10513,0.9969,1.24003,0.0003764,0.0003764,0.0003764
84,1771.77,0.88222,0.65653,1.07276,0.72888,0.63816,0.68479,0.47924,1.05953,0.94722,1.22687,0.0003566,0.0003566,0.0003566
85,1794.56,0.89116,0.66424,1.08172,0.72158,0.65447,0.69304,0.48064,1.07776,0.94185,1.2434,0.0003368,0.0003368,0.0003368
86,1818.14,0.88509,0.6758,1.06904,0.72121,0.63468,0.69444,0.48522,1.06123,0.96085,1.2425,0.000317,0.000317,0.000317
87,1839.06,0.86787,0.66239,1.07005,0.72947,0.61448,0.68336,0.47676,1.06816,0.93501,1.25029,0.0002972,0.0002972,0.0002972
88,1859.37,0.85397,0.67214,1.06939,0.74835,0.63805,0.68725,0.47975,1.10163,0.96449,1.26176,0.0002774,0.0002774,0.0002774
89,1879.96,0.8648,0.64902,1.06134,0.79641,0.59928,0.68214,0.47503,1.07915,0.94933,1.24026,0.0002576,0.0002576,0.0002576
90,1901.23,0.86622,0.64975,1.06159,0.7614,0.61245,0.69375,0.48139,1.07829,0.9702,1.25116,0.0002378,0.0002378,0.0002378
91,1936.12,0.85643,0.647,1.04627,0.72198,0.62517,0.6811,0.46993,1.1088,1.01768,1.27097,0.000218,0.000218,0.000218
92,1958.06,0.84688,0.60806,1.03924,0.77656,0.60774,0.69197,0.4858,1.07887,0.94273,1.25946,0.0001982,0.0001982,0.0001982
93,1979.24,0.81673,0.59521,1.02622,0.76563,0.62458,0.69621,0.48395,1.09694,0.98715,1.26307,0.0001784,0.0001784,0.0001784
94,2000.28,0.82943,0.5832,1.03821,0.78209,0.61111,0.68842,0.47925,1.10862,1.02122,1.26591,0.0001586,0.0001586,0.0001586
95,2021.59,0.83451,0.57475,1.0402,0.76943,0.62923,0.69968,0.48595,1.10011,0.97365,1.26003,0.0001388,0.0001388,0.0001388
96,2042.85,0.82512,0.56621,1.04048,0.76364,0.62795,0.71017,0.49243,1.08437,0.93862,1.25317,0.000119,0.000119,0.000119
97,2064.06,0.81022,0.56085,1.01815,0.7238,0.64412,0.70808,0.49345,1.08952,0.96769,1.25366,9.92e-05,9.92e-05,9.92e-05
98,2085.09,0.80749,0.57562,1.02855,0.73951,0.64998,0.71112,0.48945,1.07383,0.94183,1.24347,7.94e-05,7.94e-05,7.94e-05
99,2105.99,0.79778,0.55277,1.01253,0.73681,0.64815,0.70255,0.48896,1.09114,0.97438,1.25589,5.96e-05,5.96e-05,5.96e-05
100,2126.92,0.80516,0.55517,1.01065,0.74025,0.63811,0.70365,0.48812,1.08401,0.97072,1.26106,3.98e-05,3.98e-05,3.98e-05
