epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8538,1.36235,1.93047,1.35018,0.08915,0.42678,0.06172,0.03296,1.65098,17.4967,1.89949,0.00065641,0.00065641,0.00065641
2,44.3458,1.6907,1.94553,1.60148,0.02285,0.43939,0.01609,0.00793,2.03266,inf,2.69196,0.00130998,0.00130998,0.00130998
3,66.0724,1.7931,1.95814,1.69584,0.11944,0.07239,0.03908,0.01596,2.03477,27.7093,2.27611,0.00195035,0.00195035,0.00195035
4,86.8941,1.8275,1.95906,1.67989,0.18384,0.25589,0.11709,0.0566,1.88678,10.3958,1.93947,0.0019406,0.0019406,0.0019406
5,108.03,1.74787,1.89319,1.65096,0.44129,0.31647,0.31558,0.17043,1.97529,4.12323,1.95662,0.0019208,0.0019208,0.0019208
6,128.531,1.69671,1.80232,1.59622,0.5608,0.36364,0.38473,0.21194,1.72777,2.43312,1.7447,0.001901,0.001901,0.001901
7,149.41,1.65228,1.78761,1.56386,0.455,0.41077,0.36869,0.21344,1.66304,2.35689,1.64086,0.0018812,0.0018812,0.0018812
8,169.682,1.64223,1.64751,1.53336,0.46699,0.37374,0.35455,0.20225,1.61218,2.19518,1.62377,0.0018614,0.0018614,0.0018614
9,190.17,1.57573,1.6248,1.52065,0.56666,0.41919,0.46414,0.27925,1.55713,1.84166,1.57735,0.0018416,0.0018416,0.0018416
10,210.578,1.55491,1.5935,1.52323,0.54429,0.39612,0.41146,0.2475,1.56495,1.93421,1.56694,0.0018218,0.0018218,0.0018218
11,232.256,1.55996,1.5856,1.50429,0.58815,0.4063,0.4498,0.26985,1.57499,1.83298,1.54991,0.001802,0.001802,0.001802
12,253.418,1.5447,1.51266,1.49404,0.53708,0.38721,0.39101,0.22395,1.6483,1.94821,1.63713,0.0017822,0.0017822,0.0017822
