epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,496.171,1.05772,0.87533,1.237,0.58653,0.47269,0.49803,0.30287,1.27468,1.27801,1.41274,0.000848969,0.000848969,0.000848969
43,507.577,1.04565,0.85811,1.23847,0.53922,0.50517,0.49522,0.3048,1.26744,1.2632,1.39875,0.000834822,0.000834822,0.000834822
44,519.066,1.05237,0.86398,1.2325,0.56705,0.45744,0.47302,0.29616,1.2611,1.31037,1.3941,0.000820675,0.000820675,0.000820675
45,530.893,1.02921,0.84245,1.2188,0.5523,0.46827,0.49126,0.30398,1.28962,1.29215,1.39623,0.000806528,0.000806528,0.000806528
46,542.49,1.03835,0.84551,1.21815,0.57708,0.45664,0.48572,0.29523,1.26502,1.28394,1.38152,0.00079238,0.00079238,0.00079238
47,554.04,1.02795,0.82971,1.21718,0.56625,0.46363,0.48839,0.28884,1.33599,1.3271,1.45064,0.000778233,0.000778233,0.000778233
48,565.659,1.01912,0.83194,1.22064,0.60088,0.42908,0.49297,0.29973,1.30654,1.31976,1.42066,0.000764086,0.000764086,0.000764086
49,577.219,1.02727,0.82482,1.20508,0.53893,0.46546,0.48905,0.29548,1.28372,1.33928,1.40217,0.000749939,0.000749939,0.000749939
50,588.81,1.02151,0.8198,1.20887,0.56735,0.4977,0.52005,0.31363,1.28716,1.25637,1.40792,0.000735792,0.000735792,0.000735792
51,600.38,1.00504,0.80046,1.20174,0.55402,0.49818,0.52058,0.31675,1.27727,1.25282,1.40692,0.000721645,0.000721645,0.000721645
52,611.937,0.99566,0.79189,1.19835,0.63081,0.42891,0.49451,0.29942,1.30737,1.29618,1.41782,0.000707498,0.000707498,0.000707498
53,623.705,1.00605,0.78928,1.1861,0.56808,0.51003,0.51609,0.31312,1.27772,1.24186,1.38789,0.000693351,0.000693351,0.000693351
54,635.511,0.99056,0.78587,1.18529,0.59974,0.46195,0.51009,0.3106,1.27126,1.26619,1.38731,0.000679204,0.000679204,0.000679204
55,647.086,0.99139,0.77083,1.18855,0.5395,0.51342,0.49941,0.30609,1.29603,1.24156,1.42178,0.000665057,0.000665057,0.000665057
56,658.652,0.97855,0.76646,1.18929,0.56605,0.48315,0.50672,0.30969,1.28396,1.27676,1.40543,0.000650909,0.000650909,0.000650909
57,670.336,0.98441,0.77661,1.18442,0.52236,0.53431,0.5189,0.31819,1.2587,1.23921,1.39798,0.000636762,0.000636762,0.000636762
58,681.911,0.96208,0.76166,1.16672,0.59264,0.46209,0.48879,0.30518,1.25854,1.26132,1.39136,0.000622615,0.000622615,0.000622615
59,693.451,0.98026,0.74192,1.1725,0.54006,0.49263,0.49398,0.30045,1.26099,1.29012,1.39728,0.000608468,0.000608468,0.000608468
60,705.072,0.95122,0.73805,1.17524,0.57452,0.45334,0.48103,0.29092,1.2913,1.33682,1.41344,0.000594321,0.000594321,0.000594321
61,716.691,0.96628,0.73718,1.17943,0.57806,0.46531,0.50787,0.3177,1.28251,1.30552,1.40721,0.000580174,0.000580174,0.000580174
62,728.234,0.96287,0.74711,1.17263,0.56565,0.50988,0.5094,0.30719,1.28054,1.29435,1.41517,0.000566027,0.000566027,0.000566027
63,739.754,0.95775,0.7547,1.18245,0.58895,0.48048,0.50252,0.30427,1.2848,1.2773,1.4168,0.00055188,0.00055188,0.00055188
64,751.303,0.927,0.7109,1.14187,0.62786,0.44563,0.49085,0.29568,1.27689,1.32945,1.40435,0.000537733,0.000537733,0.000537733
65,762.721,0.93003,0.713,1.1484,0.61517,0.46382,0.51303,0.30512,1.30113,1.32435,1.42455,0.000523586,0.000523586,0.000523586
66,774.167,0.92309,0.70279,1.14602,0.58812,0.46177,0.49521,0.30648,1.27426,1.28468,1.42246,0.000509438,0.000509438,0.000509438
67,785.62,0.93652,0.70718,1.15672,0.59432,0.46967,0.48969,0.29786,1.2874,1.33714,1.41957,0.000495291,0.000495291,0.000495291
68,797.193,0.92424,0.69744,1.14488,0.57506,0.50455,0.50951,0.30767,1.29101,1.30841,1.42933,0.000481144,0.000481144,0.000481144
69,808.752,0.93468,0.701,1.15082,0.59769,0.4744,0.49655,0.30677,1.2853,1.34564,1.40581,0.000466997,0.000466997,0.000466997
